No,Category,Entity,Period,Data
46,Annual Report,HYPHENS PHARMA INTERNATIONAL LIMITED 2024,20241230,840315_Hyphens AR2024.pdf
47,Annual Report,BUND CENTER INVESTMENT LTD 2024,20241230,838882_BCI-Annual Report 2024.pdf
48,Annual Report,VALLIANZ HOLDINGS LIMITED 2024,20241230,840684_Annual Report FY2024.pdf
49,Annual Report,CREDIT BUREAU ASIA LIMITED 2024,20241230,838828_CBA AR2024 FINAL.pdf
50,Annual Report,BROADWAY INDUSTRIAL GROUP LIMITED 2024,20241230,839130_BIGL AR2024.pdf
51,Annual Report,LMS COMPLIANCE LTD. 2024,20241230,839359_LMS AR FY2024.pdf
52,Annual Report,POWERLONG REAL ESTATE HOLDINGS LIMITED 2024,20241230,842974_E01238.pdf
53,Annual Report,GOLDEN AGRI-RESOURCES LTD 2024,20241230,838887_Golden Agri Resources AR2024.pdf
54,Annual Report,OUE HEALTHCARE LIMITED 2024,20241230,838171_OUEH Annual Report 2024.pdf
55,Annual Report,HOTEL ROYAL LIMITED 2024,20241230,838852_Hotel Royal_AR2024.pdf
56,Annual Report,CAPITALAND INVESTMENT LIMITED 2024,20241230,838577_CapitaLand Investment Limited AR 2024.pdf
57,Annual Report,IHH HEALTHCARE BERHAD 2024,20241230,843337_1_IHH Healthcare Berhad_AR2024_Part 1.pdf
58,Annual Report,TIH LIMITED 2024,20241230,838941_TIH_Annual_Report_FY2024.pdf
59,Annual Report,SIN HENG HEAVY MACHINERY LIMITED 2024,20241230,839164_SIN HENG HEAVY MACHINERY LIMITED ANNUAL REPORT 2024.pdf
60,Annual Report,HONG LEONG FINANCE LIMITED 2024,20241230,837432_Hong Leong Finance AR 2024.pdf
61,Annual Report,SAPPHIRE CORPORATION LIMITED 2024,20241230,840636_Sapphire - AR2024.pdf
62,Annual Report,KTMG LIMITED 2024,20241230,840967_KTMG Limited_Annual Report 2024.pdf
63,Annual Report,UNI-ASIA GROUP LIMITED 2024,20241230,839483_Uni-Asia 2025-04-08 - Uni-Asia Group Limited Annual Report 2024.pdf
64,Annual Report,CENTURION CORPORATION LIMITED 2024,20241230,838796_CCL-Annual Report 2024.pdf
65,Annual Report,FAR EAST ORCHARD LIMITED 2024,20241230,839450_FarEastOrchard-Annual_Report_2024.pdf
66,Annual Report,OIO HOLDINGS LIMITED 2024,20241230,840212_OIO_Annual Report_FY2024.pdf
67,Annual Report,METIS ENERGY LIMITED 2024,20241230,839974_Metis_AR_2024.pdf
68,Annual Report,MONEYMAX FINANCIAL SERVICES LTD. 2024,20241230,839820_MoneyMax_AR 2024_SGX.pdf
69,Annual Report,RESOURCES GLOBAL DEVELOPMENT LIMITED 2024,20241230,840513_RGD - Annual Report 2024.pdf
70,Annual Report,JEP HOLDINGS LTD. 2024,20241230,838754_JEP Annual Report 2024.pdf
71,Annual Report,VALUEMAX GROUP LIMITED 2024,20241230,838225_ValueMax Annual Report 2024.pdf
72,Annual Report,WONG FONG INDUSTRIES LTD 2024,20241230,840036_Wong Fong_Annual Report_FY2024.pdf
73,Annual Report,HKT CAPITAL NO. 5 LIMITED 2024,20241230,841472_HKT Group Holdings Limited consol FS FY2024.pdf
74,Annual Report,ALPINA HOLDINGS LIMITED 2024,20241230,840287_Alpina Annual Report FY2024 11 Apr 2025.pdf
75,Annual Report,ABUNDANCE INTERNATIONAL LIMITED 2024,20241230,839753_Abundance Annual Report 2024.final.pdf
76,Annual Report,NO VA LAND INVESTMENT GROUP CORPORATION 2024,20241230,838620_AR 2024_EN.pdf
77,Annual Report,TSH CORPORATION LIMITED 2024,20241230,840453_TSH - Annual Report 2024.pdf
78,Annual Report,ES GROUP (HOLDINGS) LIMITED 2024,20241230,839275_ES Group - Annual Report and SR - FY2024.pdf
79,Annual Report,17LIVE GROUP LIMITED 2024,20241230,839182_17LIVE-Annual Report FY2024.pdf
80,Annual Report,MUN SIONG ENGINEERING LIMITED 2024,20241230,840912_MSE - Addendum dated 15 April 2025.pdf
81,Annual Report,KEPPEL LTD. 2024,20241230,837797_1. Keppel Ltd._Annual Report 2024.pdf
82,Annual Report,HELENS INTERNATIONAL HOLDINGS COMPANY LIMITED 2024,20241230,842081_HELENS_CIR.pdf
83,Annual Report,QUANTUM HEALTHCARE LIMITED 2024,20241230,841266_Quantuam_AR 2024.pdf
84,Annual Report,SOUTHERN PACKAGING GROUP LIMITED 2024,20241230,840675_SPGL - Annual Report FY2024.pdf
85,Annual Report,EINDEC CORPORATION LIMITED 2024,20241230,839675_Eindec - Request_Form.pdf
86,Annual Report,COMFORTDELGRO CORPORATION LIMITED 2024,20241230,837457_ComfortDelGro - Annual Report 2024.pdf
87,Annual Report,CH OFFSHORE LTD. 2024,20241230,839682_CHO Annual Report FY2024.pdf
88,Annual Report,NAM CHEONG LIMITED 2024,20241230,839398_NamCheong AR2024.pdf
89,Annual Report,SOUP HOLDINGS LIMITED 2024,20241230,840776_Soup Annual Report FY2024.pdf
90,Annual Report,ELITE UK REIT MANAGEMENT PTE. LTD. 2024,20241230,838195_Elite UK REIT-Annual Report 2024.pdf
91,Annual Report,CAPITALAND ASCENDAS REIT MANAGEMENT LIMITED 2024,20241230,838412_1. CLAR Annual Report 2024.pdf
92,Annual Report,WORLD PRECISION MACHINERY LIMITED 2024,20241230,840283_WPM - Annual Report FY2024.pdf
93,Annual Report,SEVENS ATELIER LIMITED 2024,20241230,840319_Sevens Atelier Limited_Annual Report FY2024 verion on 100425.pdf
94,Annual Report,FIGTREE HOLDINGS LIMITED 2024,20241230,840907_Figtree AR2024 - Full Report - 15Apr2025.pdf
95,Annual Report,SARINE TECHNOLOGIES LTD. 2024,20241230,838549_Sarine AR2024.pdf
96,Annual Report,TREK 2000 INTERNATIONAL LTD 2024,20241230,841187_AR-13-Trek 2000 FS FY2024-15 Apr 25.pdf
97,Annual Report,UNITED OVERSEAS AUSTRALIA LTD 2024,20241230,837900_250328_UOAL_AR24_FINAL.pdf
98,Annual Report,JOYAS INTERNATIONAL HLDGS LTD 2024,20241230,840835_Joyas AR2024.pdf
99,Annual Report,PRIME US REIT MANAGEMENT PTE. LTD. 2024,20241230,839282_PRIME Annual Report 2024.pdf
100,Annual Report,PETRON CORPORATION 2024,20241230,841305_SGX - 04 15 25 - Petron - 2024 Annual Report_SEC Form 17-A.pdf
101,Annual Report,CHOO CHIANG HOLDINGS LTD. 2024,20241230,840155_ChooChiang-Annual Report FYE 31 Dec 2024.pdf
102,Annual Report,MOOREAST HOLDINGS LTD. 2024,20241230,840029_Mooreast - Annual Report_Sustainability Report 2024.pdf
103,Annual Report,CHINA OIL AND GAS GROUP LIMITED 2024,20241230,842316_e_AR2024.pdf
104,Annual Report,SINGAPORE KITCHEN EQUIPMENT LIMITED 2024,20241230,841164_SKE-AR2024.pdf
105,Annual Report,VINS HOLDINGS LTD 2024,20241230,842049_VHL - AR2024.pdf
106,Annual Report,GOODWILL ENTERTAINMENT HOLDING LIMITED 2024,20241230,840951_GEHL Annual Report_FY2024.pdf
107,Annual Report,HKT CAPITAL NO. 4 LIMITED 2024,20241230,841469_HKT Group Holdings Limited consol FS FY2024.pdf
108,Annual Report,BAKER TECHNOLOGY LIMITED 2024,20241230,840302_BTL Annual Report FY2024.pdf
109,Annual Report,INDOFOOD AGRI RESOURCES LTD. 2024,20241230,839441_IndoAgri - AR2024.pdf
110,Annual Report,PROSPERCAP CORPORATION LIMITED 2024,20241230,841258_ProsperCap_AR2024_FINAL.pdf
111,Annual Report,DAIWA HOUSE ASSET MANAGEMENT ASIA PTE. LTD. 2024,20241230,838438_DHLT-Annual Report 2024.pdf
112,Annual Report,SUNPOWER GROUP LTD. 2024,20241230,838928_29641387_Announcement_Annual Report FY2024.pdf
113,Annual Report,BANK OF THE PHILIPPINE ISLANDS 2024,20241230,847165_BANK OF THE PHILIPPINE ISLANDS SEC FORM IACGR 2024 PSE Final.pdf
114,Annual Report,ASTREA 7 PTE. LTD. 2024,20241230,845849_Astrea FY2024 Annual Report.pdf
115,Annual Report,YANGZIJIANG SHIPBUILDING (HOLDINGS) LTD. 2024,20241230,839389_YZJ - Annual Report FY2024.pdf
116,Annual Report,DELFI LIMITED 2024,20241230,840455_Delfi 2024 Annual Report .pdf
117,Annual Report,MANUFACTURING INTEGRATION TECHNOLOGY LTD. 2024,20241230,840255_MITL-AR_2024.pdf
118,Annual Report,KOH BROTHERS GROUP LIMITED 2024,20241230,839968_KBGL-Annual_Report.pdf
119,Annual Report,UNITED HAMPSHIRE US REIT MANAGEMENT PTE. LTD. 2024,20241230,838916_1. United Hampshire US REIT 2024 Anunual Report.pdf
120,Annual Report,ASTAKA HOLDINGS LIMITED 2024,20241230,840331_AHL Annual Report FY2024.pdf
121,Annual Report,GLOBAL INVESTMENTS LIMITED 2024,20241230,838403_49a_20250402_AnnualReport2024.pdf
122,Annual Report,HOTEL PROPERTIES LIMITED 2024,20241230,840745_HPL_AR2024.pdf
123,Annual Report,MEMIONTEC HOLDINGS LTD. 2024,20241230,840054_Memiontec - Annual Report FY2024.pdf
124,Annual Report,HONG FOK CORPORATION LIMITED 2024,20241230,839429_Annual Report 2024_8Apr2025.pdf
125,Annual Report,ZICO HOLDINGS INC. 2024,20241230,840380_ZICO Holdings Inc. Annual Report 2024.pdf
126,Annual Report,OVERSEAS EDUCATION LIMITED 2024,20241230,839705_OEL - FY2024 Annual Report.pdf
127,Annual Report,PCPD CAPITAL LIMITED 2024,20241230,837738_E_895977_PCPD_AR2024_0318_1955_ESS.pdf
128,Annual Report,HEALTHBANK HOLDINGS LIMITED 2024,20241230,840280_Healthbank Annual Report FY2024 11 Apr 2025.pdf
129,Annual Report,GLOBAL TESTING CORPORATION LIMITED 2024,20241230,839468_GTC - Annual Report 2024.pdf
130,Annual Report,SOILBUILD CONSTRUCTION GROUP LTD. 2024,20241230,839029_SBCG - Annual Report 2024.pdf
131,Annual Report,SPACKMAN ENTERTAINMENT GROUP LIMITED 2024,20241230,841128_Spackman - Annual Report 2024.pdf
132,Annual Report,TRICKLESTAR LIMITED 2024,20241230,835806_TrickleStar - Annual Report FYE 2024.pdf
133,Annual Report,CHARISMA ENERGY SERVICES LIMITED 2024,20241230,839884_FY2024 Annual Report.pdf
134,Annual Report,SING HOLDINGS LIMITED 2024,20241230,838696_Annual Report.pdf
135,Annual Report,OUHUA ENERGY HOLDINGS LIMITED 2024,20241230,839395_Ouhua - AR FY2024.pdf
136,Annual Report,KIM HENG LTD. 2024,20241230,840470_KHL - Annual Report FY2024.pdf
137,Annual Report,MENCAST HOLDINGS LTD. 2024,20241230,840369_Mencast AR24.pdf
138,Annual Report,IHH HEALTHCARE BERHAD 2024,20241230,846416_IHH Healthcare Berhad_Errata to AR2024_22052025.pdf
139,Annual Report,FEO HOSPITALITY ASSET MANAGEMENT PTE. LTD. 2024,20241230,837004_FEHT AR2024.pdf
140,Annual Report,GEO ENERGY RESOURCES LIMITED 2024,20241230,838567_Annual Report 2024.pdf
141,Annual Report,SINGAPORE TECHNOLOGIES ENGINEERING LTD 2024,20241230,837427_ST Engineering Annual Report 2024.pdf
142,Annual Report,KOREA HOUSING FINANCE CORPORATION 2024,20241230,849781_KHFC_Audited Annual Financial Statements 2024.pdf
143,Annual Report,UOB-KAY HIAN HOLDINGS LIMITED 2024,20241230,839897_UOBKHHL Annual Report 2024.pdf
144,Annual Report,DBS GROUP HOLDINGS LTD 2024,20241230,835744_DBS Annual Report 2024.pdf
145,Annual Report,KEPPEL PACIFIC OAK US REIT MANAGEMENT PTE. LTD. 2024,20241230,837416_Keppel Pacific Oak US REIT Annual Report 2024.pdf
146,Annual Report,CAPTII LIMITED 2024,20241230,839233_Captii - Annual Report FY2024.pdf
147,Annual Report,GCCP RESOURCES LIMITED 2024,20241230,840877_GCCP-Annual_Report_2024.pdf
148,Annual Report,KOYO INTERNATIONAL LIMITED 2024,20241230,839921_Koyo - Annual Report 2024.pdf
149,Annual Report,STONEWEG EREIT MANAGEMENT PTE. LTD. 2024,20241230,839100_SERT_AR2024_Final.pdf
150,Annual Report,CHINA EVERBRIGHT WATER LIMITED 2024,20241230,837761_CEWL_-_Annual_Report_2024.pdf
151,Annual Report,INNOTEK LIMITED 2024,20241230,840773_Innotek_Annual Report FY24.pdf
152,Annual Report,METECH INTERNATIONAL LIMITED 2024,20241230,848691_Metech_International_2024 Annual Report.pdf
153,Annual Report,CAPITALAND INTEGRATED COMMERCIAL TRUST MANAGEMENT LIMITED 2024,20241230,837145_2a_CICT AR 2024_Final.pdf
154,Annual Report,SHUI ON LAND LIMITED 2024,20241230,842185_e_SOL_Annual Report_2024_250424.pdf
155,Annual Report,CHINA SHENSHAN ORCHARD HOLDINGS CO. LTD. 2024,20241230,840610_China Shenshan - Annual Report FY2024.pdf
156,Annual Report,PROCURRI CORPORATION LIMITED 2024,20241230,840010_Procurri_Annual Report 2024.pdf
157,Annual Report,EMERGING TOWNS & CITIES SINGAPORE LTD. 2024,20241230,848278_ETC - SGXNet - Annual Report FY2024.pdf
158,Annual Report,TAN CHONG INTERNATIONAL LIMITED 2024,20241230,842344_2025042400456.pdf
159,Annual Report,M&C REIT MANAGEMENT LIMITED 2024,20241230,837284_CDLHT-AR2024.pdf
160,Annual Report,OVERSEA-CHINESE BANKING CORPORATION LIMITED 2024,20241230,837410_2024 Annual Report - English PDF.pdf
161,Annual Report,YEO HIAP SENG LTD 2024,20241230,837276_YHS - Annual Report 2024.pdf
162,Annual Report,CHINA SUNSINE CHEMICAL HOLDINGS LTD. 2024,20241230,840738_China Sunsine - AR2024.pdf
163,Annual Report,MEDTECS INTERNATIONAL CORP LTD 2024,20241230,841032_Medtecs - 2024 Annual Report.pdf
164,Annual Report,DARCO WATER TECHNOLOGIES LIMITED 2024,20241230,840628_FY2024 Annual Report.pdf
165,Annual Report,BANK OF THE PHILIPPINE ISLANDS 2024,20241230,840780_2024 BPI SEC Form 17A.pdf
166,Annual Report,SABANA REAL ESTATE INVESTMENT MANAGEMENT PTE. LTD. 2024,20241230,836302_Sabana Annual Report 2024.pdf
167,Annual Report,FIRST SPONSOR GROUP LIMITED 2024,20241230,838918_First Sponsor AR2024.pdf
168,Annual Report,HOSEN GROUP LTD. 2024,20241230,839841_Hosen - Annual Report 2024.pdf
169,Annual Report,MANULIFE US REAL ESTATE MANAGEMENT PTE. LTD. 2024,20241230,841053_Manulife US REIT Annual Report and Sustainability Report 2024.pdf
170,Annual Report,AJJ MEDTECH HOLDINGS LIMITED 2024,20241230,841163_AJJ Medtech- Annual Report 2024.pdf
171,Annual Report,SOUTHERN ARCHIPELAGO LTD. 2024,20241230,839550_SAL Annual Report FY2024.pdf
172,Annual Report,HONG LEONG ASIA LTD. 2024,20241230,837651_HLA AR2024.pdf
173,Annual Report,KATRINA GROUP LTD. 2024,20241230,839848_Katrina - Annual Report FY2024.pdf
174,Annual Report,PAVILLON HOLDINGS LTD. 2024,20241230,840203_Pavillon - Annual Report FY2024.pdf
175,Annual Report,JARDINE MATHESON HLDGS LTD 2024,20241230,839235_Annual Report 2024.pdf
176,Annual Report,OLIVE TREE ESTATES LIMITED 2024,20241230,837966_20250328 OTEL - FY2024 Annual Report.pdf
177,Annual Report,PLATO CAPITAL LIMITED 2024,20241230,839851_Plato Annual Report 2024.pdf
178,Annual Report,BH GLOBAL CORPORATION LIMITED 2024,20241230,839946_BHG_Annual Report_FY2024.pdf
179,Annual Report,KWG GROUP HOLDINGS LIMITED 2024,20241230,842176_e_01813esg-20250423.pdf
180,Annual Report,EC WORLD ASSET MANAGEMENT PTE LTD 2024,20241230,841207_EC World REIT-Annual Report 2024.pdf
181,Annual Report,BENG KUANG MARINE LIMITED 2024,20241230,838763_BKM Annual Report FY2024.pdf
182,Annual Report,AMARA HOLDINGS LIMITED 2024,20241230,839992_Amara AR24.pdf
183,Annual Report,GLOBAL INVACOM GROUP LIMITED 2024,20241230,839592_GIGL_Annual Report FY2024.pdf
184,Annual Report,TUAN SING HOLDINGS LIMITED 2024,20241230,838558_Annual Report 2024.pdf
185,Annual Report,SOON LIAN HOLDINGS LIMITED 2024,20241230,840308_Soon Lian_Annual Report_FY2024.pdf
186,Annual Report,PETRON CORPORATION 2024,20241230,849771_SGX - 06 25 25 - Petron - Amended General Information Sheet 2025_Issuance of Permit to Sell.pdf
187,Annual Report,BBR HOLDINGS (S) LTD 2024,20241230,840012_BBR Annual Report 2024.pdf
188,Annual Report,OUE LIMITED 2024,20241230,838183_OUE_Annual_Report_2024.pdf
189,Annual Report,PROSPERA GLOBAL LIMITED 2024,20241230,840687_PROSPERA GLOBAL LIMITED - Annual Report 2024.pdf
190,Annual Report,CSE GLOBAL LIMITED 2024,20241230,838871_CSE_FY2024 Annual Report.pdf
191,Annual Report,NATURAL COOL HOLDINGS LIMITED 2024,20241230,839126_NCH Annual Report FY2024.pdf
192,Annual Report,ASPIAL LIFESTYLE LIMITED 2024,20241230,844096_Aspial Lifestyle Sustainability Report 2024.pdf
193,Annual Report,TRANS-CHINA AUTOMOTIVE HOLDINGS LIMITED 2024,20241230,839152_TCA - Annual Report FY2024.pdf
194,Annual Report,YANLORD LAND GROUP LIMITED 2024,20241230,839457_08-04-2025_Yanlord_Annual_Report_2024.pdf
195,Annual Report,HAFARY HOLDINGS LIMITED 2024,20241230,839420_HHL - Annual Report 2024.pdf
196,Annual Report,HALCYON AGRI CORPORATION LIMITED 2024,20241230,840170_HAC-FY2024 Annual Report.pdf
197,Annual Report,PT CIPUTRA DEVELOPMENT TBK 2024,20241230,844191_Laporan Tahunan 2024_CTRA_30042025.pdf
198,Annual Report,EDITION LTD. 2024,20241230,839688_Edition Annual Report FY2024.pdf
199,Annual Report,SBS TRANSIT LTD 2024,20241230,837308_SBS Transit - Annual Report 2024.pdf
200,Annual Report,ISEC HEALTHCARE LTD. 2024,20241230,838802_ISEC Annual Report 2024.pdf
201,Annual Report,ASIAPHOS LIMITED 2024,20241230,839702_Asiaphos - Annual Report 2024.pdf
202,Annual Report,HEETON HOLDINGS LIMITED 2024,20241230,839309_Heeton AR24 Combined V5.pdf
203,Annual Report,OKP HOLDINGS LIMITED 2024,20241230,838125_OKP AR 2024.pdf
204,Annual Report,UNITED OVERSEAS BANK LIMITED 2024,20241230,837065_UOB AR2024.pdf
205,Annual Report,NERA TELECOMMUNICATIONS LTD 2024,20241230,840656_Nera Telecommunications Ltd AR 2024.pdf
206,Annual Report,PHILLIP CAPITAL MANAGEMENT (S) LTD 2024,20241230,837495_PhillipLegacyFund-Annual Report 31Dec24.pdf
207,Annual Report,YING LI INTERNATIONAL REAL ESTATE LIMITED 2024,20241230,839415_Ying Li - Annual Report FYE20241231.pdf
208,Annual Report,ACMA LTD. 2024,20241230,840756_ACMA LTD. ANNUAL REPORT 2024.pdf
209,Annual Report,UOL GROUP LIMITED 2024,20241230,838991_UOL Group Limited - Annual Report 2024.pdf
210,Annual Report,PROGEN HOLDINGS LTD 2024,20241230,838934_Progen Holdings Ltd Annual Report 2024.pdf
211,Annual Report,HOR KEW CORPORATION LIMITED 2024,20241230,841078_HKCL - Annual report for financial year ended 31 Dec 2024.pdf
212,Annual Report,THAKRAL CORPORATION LTD 2024,20241230,840937_Thakral_AR2024.pdf
213,Annual Report,KORI HOLDINGS LIMITED 2024,20241230,840243_KORI HOLDINGS LIMITED ANNUAL REPORT 2024.pdf
214,Annual Report,NIKS PROFESSIONAL LTD. 2024,20241230,839305_Niks Professional Ltd. - Annual Report 2024.pdf
215,Annual Report,APTT MANAGEMENT PTE. LIMITED 2024,20241230,838847_APTTAnnualReport2024.pdf
216,Annual Report,SIM LEISURE GROUP LTD. 2024,20241230,840332_SLG AR 2024_FINAL.pdf
217,Annual Report,CANACOL ENERGY LTD. 2024,20241230,836995_3.2 CNEAIF Dec 31 2024.pdf
218,Annual Report,NEW TOYO INTERNATIONAL HOLDINGS LTD 2024,20241230,840982_New Toyo Annual Report 2024.pdf
219,Annual Report,BOC AVIATION LIMITED 2024,20241230,842917_BOC Aviation 2024 Annual Report - EN.pdf
220,Annual Report,HENGYANG PETROCHEMICAL LOGISTICS LIMITED 2024,20241230,839893_Hengyang FY2024 Annual Report.pdf
221,Annual Report,LANDSEA GREEN MANAGEMENT LTD. 2024,20241230,843083_EW00106-AR24.pdf
222,Annual Report,TAT SENG PACKAGING GROUP LTD 2024,20241230,839560_Annual Report FY2024.pdf
223,Annual Report,SAMUDERA SHIPPING LINE LTD 2024,20241230,840152_01 SAMUDERA EDITORIAL.pdf
224,Annual Report,KEPPEL INFRASTRUCTURE FUND MANAGEMENT PTE LTD 2024,20241230,837815_1. KIT_AR2024_Full Report.pdf
225,Annual Report,AP OIL INTERNATIONAL LIMITED 2024,20241230,839157_AP Oil International - Annual Report 2024.pdf
226,Annual Report,CORDLIFE GROUP LIMITED 2024,20241230,846741_CGL - Annual Report FY2024.pdf
227,Annual Report,ANNAIK LIMITED 2024,20241230,840418_AnnAik Limited FY2024 - Annual Report.pdf
228,Annual Report,ENVIRO-HUB HOLDINGS LTD. 2024,20241230,839790_EHHL_Annual Report 2024.pdf
229,Annual Report,IPC CORPORATION LTD 2024,20241230,840742_IPC_Annual Report_FY2024.pdf
230,Annual Report,TELECHOICE INTERNATIONAL LIMITED 2024,20241230,838924_2025.04.04 Telechoice - Annual Report 2024.pdf
231,Annual Report,LS 2 HOLDINGS LIMITED 2024,20241230,840676_250414-Appendix a LS 2 Share Buyback Mandate.pdf
232,Annual Report,RIVERSTONE HOLDINGS LIMITED 2024,20241230,839002_RHL - Annual Report 2024.pdf
233,Annual Report,BONVESTS HOLDINGS LIMITED 2024,20241230,840343_Bonvests Holdings Limited_AR24.pdf
234,Annual Report,HKT CAPITAL NO. 6 LIMITED 2024,20241230,841475_HKT Group Holdings Limited consol FS FY2024.pdf
235,Annual Report,ABR HOLDINGS LIMITED 2024,20241230,840611_ABR Holdings - Annual Report FY2024.pdf
236,Annual Report,FEDERAL INTERNATIONAL (2000) LTD 2024,20241230,840744_Federal - Annual Report FY2024_1.pdf
237,Annual Report,ANNICA HOLDINGS LIMITED 2024,20241230,840577_Annica AR2024.pdf
238,Annual Report,SASSEUR ASSET MANAGEMENT PTE. LTD. 2024,20241230,838162_Sasseur_REIT-Annual_Report_FY2024.pdf
239,Annual Report,HIAP HOE LIMITED 2024,20241230,840650_HHL - Annual Report 2024.pdf
240,Annual Report,ASIAMEDIC LIMITED 2024,20241230,838251_Annual Report.pdf
